x,y,z,D_20171127,D_20171209,D_20171221,D_20180102,D_20180114,D_20180126,D_20180207,D_20180219,D_20180303,D_20180315,D_20180327,D_20180408,D_20180420,D_20180502,D_20180514,D_20180607,D_20180619,D_20180701,D_20180713,D_20180725,D_20180806,D_20180818,D_20180830,D_20180911,D_20180923,D_20181005,D_20181017,D_20181029,D_20181110,D_20181122,D_20181204,D_20181216,D_20181222,D_20181228,D_20190109,D_20190121,D_20190202,D_20190214,D_20190226,D_20190310,D_20190322,D_20190403,D_20190415,D_20190509,D_20190521,D_20190602,D_20190614,D_20190626,D_20190708,D_20190720,D_20190801,D_20190813,D_20190906,D_20190918,D_20190930,D_20191012,D_20191105,D_20191117,D_20191129,D_20191211,D_20191223,D_20200104
102.796948,29.252620,1357.994629,0.000000,-1.590427,-0.828777,5.140546,-0.512916,-0.840430,-3.294275,0.438184,-5.647207,9.954763,5.983293,-4.678234,-0.181868,-1.514506,1.988566,4.565695,12.223274,3.741958,5.587922,-0.753714,3.551657,-0.133713,-0.153790,-3.884784,-2.100720,-3.360946,-1.324049,1.249286,-2.352398,1.082207,-1.429718,0.675404,-1.147322,0.512661,2.343412,5.168496,-0.873433,-0.076278,-6.199660,2.404076,4.048206,-6.708900,7.222023,-5.047743,-9.003750,4.593023,6.899689,-19.633155,-4.781417,2.733794,-6.331114,-0.566177,-0.437524,-1.271427,0.804636,0.496043,-0.636197,0.729653,0.506596,0.374712,0.014306,0.159234
102.797281,29.252620,1355.581055,0.000000,2.762704,0.717749,0.452586,-1.384430,0.210071,-0.557213,0.375051,-0.576987,-0.597242,0.025248,5.516755,0.647190,1.756190,-1.092494,1.540966,-4.630894,5.300314,12.548426,2.178709,1.140894,1.047022,1.940478,-2.788979,0.609726,-3.005028,-2.199230,-5.357542,-1.329434,-0.125751,-2.049239,2.443029,-1.710371,0.573612,-1.448034,-1.624733,2.674146,5.653829,3.360684,-1.560314,-4.055962,2.594685,4.283077,-7.700064,8.994191,-5.719214,-9.505540,-1.222367,-0.156228,-14.822657,1.281201,1.227630,-2.997952,-4.858591,-1.096709,-1.192009,0.421628,0.811211,-1.361683,-1.062053,0.576496,1.023888
102.797448,29.252620,1355.629150,0.000000,1.276061,2.169926,1.292119,-0.158542,-1.744835,-0.386078,-0.302000,0.685589,-0.321093,-0.447630,0.331402,5.240247,-0.617183,2.855266,-1.441399,2.584575,-4.550815,6.922606,11.061565,1.985548,1.858584,0.669409,1.833919,-3.592003,0.847859,-3.076536,-2.149424,-6.076252,-1.475941,-0.526741,-1.333358,2.365253,-1.871643,0.561086,-1.428953,-2.161299,2.770610,5.713193,4.012787,-2.006042,-2.612850,2.067798,5.068426,-3.930885,7.814058,-6.069423,-9.619375,-4.533211,0.484022,-12.757183,1.592284,3.103690,-4.002695,-4.588816,-1.512773,-0.710096,0.956699,0.759682,-1.674242,-1.174288,0.556228
102.797781,29.252620,1343.671875,0.000000,2.721058,3.108501,3.183308,-2.192072,-2.177144,-2.165965,0.304600,1.465412,-0.655268,-1.424558,1.448035,0.411632,-1.208381,3.232123,-4.137583,11.723659,1.328142,2.939971,2.401264,12.688242,2.639339,5.459298,6.072109,0.011063,1.080783,-8.035915,1.791969,-0.770317,-0.354572,-7.589867,-2.152284,-0.255963,-2.609716,3.699417,-2.709053,0.823090,-1.535073,-3.374721,2.692672,5.813141,1.944001,1.822773,0.849102,1.009189,4.127915,2.351806,6.484406,-7.210873,-8.650238,-25.305909,8.375817,-1.320818,0.286238,0.206352,4.461239,-11.168173,0.557614,1.516477,3.443789,0.792261,-2.545397
102.798448,29.252620,1312.704590,0.000000,4.227939,4.088934,2.389529,-2.516541,-2.894592,-1.938035,-0.669638,1.689550,-0.023947,-2.056581,-0.371260,0.992013,-0.093298,0.123782,3.948114,0.882462,2.281212,-0.951201,-0.972156,8.283754,-0.593817,0.411278,-4.160486,2.705911,1.156523,-7.501099,1.195312,5.060231,-1.630998,-5.594741,-0.785125,-0.868609,-1.398299,1.300464,-1.709454,0.327500,-2.106598,-0.772688,6.422311,-1.307208,2.350730,1.906237,-0.952052,2.715537,4.759839,-1.759224,-7.824421,-28.369921,13.150915,-8.289280,1.909375,1.305196,2.818455,-8.095877,-3.993187,2.962790,2.257675,0.814552,-2.271995,-1.392956,1.114056
102.798948,29.252620,1280.674194,0.000000,5.079064,4.002968,2.028879,-1.791083,-2.580509,-2.305880,0.078635,1.244118,-1.766683,-1.107427,0.466953,-1.219076,6.932348,-3.174566,3.691277,7.173973,-12.812796,-1.464176,-5.275947,4.792631,-4.818668,-2.961630,1.806437,0.414906,-5.823222,0.014065,-0.634730,1.309824,-4.910655,-0.866992,-1.585207,1.344316,0.140653,-2.012008,0.372749,-1.897857,-2.745757,1.802327,5.943185,-1.572635,0.578038,-0.820802,0.202546,0.409265,-0.267461,-0.686601,-7.521869,-8.856539,5.099443,13.392455,-6.452973,-0.905660,0.135870,12.322262,-9.089528,-0.343151,2.256988,4.071756,0.597108,-1.808030,-0.744112
102.799615,29.252620,1249.310181,0.000000,5.296832,2.007726,0.977381,-0.905790,-3.380696,-1.463774,-0.411688,0.451054,-4.591621,3.430255,1.982880,-5.600657,15.837731,-9.628549,4.528039,0.567217,-3.255319,5.112127,11.221182,-2.117758,0.041065,-1.362142,2.157583,-1.949211,-0.005020,-3.626534,-0.668491,-2.989346,5.749764,-2.653035,-1.314693,-0.762035,-1.460884,-2.790093,2.309521,5.494091,4.650043,-5.275042,3.741580,-1.753201,1.044787,1.258251,9.725943,-4.277844,-9.007582,6.500826,37.037377,-14.088658,-9.962139,7.634136,-2.777328,-5.742859,0.669571,-3.282082,3.274891,1.119522,-0.704685,-0.760445,0.447937,-0.381958,0.267876
102.799948,29.252620,1236.193237,0.000000,3.892529,2.101778,0.465020,0.361315,-0.423271,-1.258839,0.563591,0.032076,-0.787168,-0.905206,-0.060651,3.221992,2.648096,-2.473650,-5.641449,-2.866372,-6.234554,-2.348768,4.043061,10.587034,-0.559742,-1.107572,1.424715,1.679572,2.068987,0.893231,-1.086811,0.179240,0.750917,-2.822185,-3.976525,-0.063131,1.117432,-1.586560,-3.881759,0.153390,3.872155,2.555715,-3.456558,-2.454888,5.425634,10.441222,-4.777685,4.362486,-5.893821,16.726572,2.073198,-9.347061,-4.069725,15.800777,-11.678680,1.668899,-1.283352,-0.233608,1.472859,-0.423880,-1.003925,-0.271736,0.792064,-0.516157,-1.772697
102.779115,29.252454,1819.491821,0.000000,-5.187550,0.623662,-3.058332,3.688673,2.039902,0.007314,-1.939124,-1.549740,4.190219,-3.177056,9.044318,12.867137,7.378275,-4.913929,-0.126774,-8.333418,4.842797,14.387521,-2.359851,-5.328240,0.208126,4.436007,2.120987,-4.128964,-9.621734,-5.233924,-5.090258,0.855209,0.048012,2.179284,-1.285354,-4.117406,-1.804448,0.974595,1.275715,3.968764,6.786805,1.947850,-0.012092,-11.195916,-0.344253,12.416727,4.944473,13.414252,-4.515072,-2.445568,-7.629263,21.678777,-12.391445,-3.270290,-3.547398,2.613549,3.404090,-0.099575,-6.477508,-2.397328,-0.037735,2.985905,1.425514,0.511130,0.605640
102.779282,29.252454,1817.121582,0.000000,-5.184965,0.592707,-3.044379,3.845089,1.933836,0.226808,-2.199202,-1.528630,6.565985,-5.673940,10.230328,12.251767,7.755392,-7.038658,0.254427,-5.704609,4.712450,13.753528,-4.759081,-5.207706,0.757511,4.039475,2.070192,-4.066103,-9.572562,-5.417866,-5.001472,1.033648,0.330051,2.040379,-1.308852,-4.240043,-0.743016,1.300214,3.806842,7.036389,1.991561,-0.317513,-11.740484,0.214818,12.121292,5.709984,13.714302,-3.975008,-2.709526,-4.738516,21.725651,-11.983913,-4.438099,-3.589272,3.192272,3.373875,-0.583136,-6.605281,-2.577172,-0.145527,2.794846,1.406757,0.382036,0.684008,0.044912
102.779449,29.252454,1813.706787,0.000000,-5.337745,0.439766,-2.902443,4.203888,1.961544,-2.101198,-1.168814,6.995871,-8.108728,11.148745,13.099739,4.573616,-8.031172,0.042982,-4.504466,4.201505,14.925211,-6.568663,-6.108139,1.728154,3.426315,3.368856,-4.436582,-9.892103,-6.224650,-3.058649,0.438635,1.914783,-1.404897,-4.233338,-1.726935,1.338828,4.575584,7.561429,0.749551,-0.183701,-12.793071,14.323878,4.294206,14.131435,-2.419988,-2.888878,3.896173,18.058672,-12.178775,-7.237793,-3.903698,4.133609,5.063885,-1.130665,-8.162828,-3.190947,-0.194818,2.379619,1.351019,0.433325,0.630785,0.146469,0.784296,0.405562,-1.669981
102.780115,29.252454,1801.654907,0.000000,-5.385335,-0.903026,-2.363286,3.588325,1.371009,2.497642,-1.031368,-1.161079,-2.347876,0.621833,3.647038,3.387236,-3.952426,6.537322,8.203945,12.532678,1.369127,0.181845,-9.025057,18.227348,9.101239,-5.781449,-3.120044,-0.604241,4.092301,0.332134,-4.611935,-4.739788,-6.076935,-6.519727,0.032730,0.024963,0.931721,-1.091891,-4.257280,-0.489309,-0.318741,0.859389,4.724368,6.683749,1.202879,1.008050,-7.820861,3.669731,9.510856,10.210659,10.650319,-1.686406,-5.404331,-7.729549,33.330673,-10.784271,-4.089859,-1.136639,-0.393448,0.892559,-3.909118,-4.860260,-4.666260,0.199505,0.781006
102.780282,29.252454,1800.533447,0.000000,-5.018183,-0.811700,-2.339326,3.368710,1.250756,2.057685,-0.769686,-0.976346,-1.939516,0.309952,3.391770,4.400310,3.913400,6.070677,12.869518,1.522741,0.338789,-4.715454,15.441126,8.260910,-3.685841,-2.740593,-0.048637,4.351326,0.481285,-4.296802,-4.374035,-5.922377,-6.647268,-0.272316,0.182110,0.354194,-0.875410,-4.365211,-0.305146,-0.529783,0.708883,4.962729,6.584103,1.751417,1.040514,-6.892838,3.974568,9.272968,10.913113,10.589622,-2.043365,-4.631150,-7.769462,32.507713,-9.968933,-3.633621,-0.902314,-0.578372,0.252071,-3.992844,-4.674446,-4.533222,0.307297,0.289184,0.090866
102.780449,29.252454,1798.316162,0.000000,-4.514939,-0.449005,-1.979732,3.017679,1.002491,1.516119,-0.539668,-0.797359,-1.216362,-0.328075,3.188610,5.402932,-2.460815,6.041903,4.906843,12.138232,2.048231,0.040318,-0.642920,13.191671,7.682717,-1.243153,-2.994102,-0.275269,3.732029,-0.055397,-3.871734,-3.869858,-5.578095,-6.750919,-0.566580,0.309616,-0.441557,-0.480314,-4.305872,-0.011309,-0.817863,0.586212,4.810820,6.753811,2.644615,0.720611,-6.027494,4.000036,9.357720,12.115631,9.725624,-2.143742,-3.144752,-7.690293,29.889111,-8.466721,-2.645324,-0.295479,-1.499634,-0.050575,-3.802857,-4.838486,-4.242904,0.314949,-0.125439
102.780615,29.252454,1795.059692,0.000000,-3.937395,-0.261339,-1.610577,2.599100,0.741426,1.024027,-0.333743,-0.327637,-0.880188,-0.744143,8.059375,-1.315040,4.215131,4.978767,10.695905,0.374556,-2.289434,7.193410,6.075558,5.952843,0.716408,-3.868550,-1.140144,3.108589,-0.202106,-3.398880,-3.734095,-5.071320,-6.677675,-0.818607,0.354427,-0.843983,-0.064613,-4.434560,0.122761,-0.692171,0.313602,4.352685,7.025551,2.304816,0.577983,-4.923154,4.043100,9.315262,12.788521,9.612003,-2.790524,-2.082882,-8.960846,28.434620,-6.355316,-2.525848,-0.513130,-2.456795,-0.558182,-2.821442,-5.591449,-4.041409,0.182167,0.005749,-0.158363
102.780782,29.252454,1790.641724,0.000000,-3.586648,-0.248867,-1.302917,2.410497,0.508652,1.003421,-0.398823,-0.066963,-0.743118,-1.000391,7.454823,-0.315735,1.743623,3.810914,9.394526,-0.112981,-2.674775,5.166140,8.582989,5.883346,-0.651600,-4.259203,-1.732414,3.073815,-0.606640,-3.083716,-4.027654,-4.864964,-6.559834,-0.848000,0.411983,-1.050373,0.290785,-4.501197,0.151005,-0.525863,0.181318,3.904272,7.404135,2.110941,0.308353,-3.827532,3.444954,9.373810,13.107458,9.265453,-3.045520,-1.514603,-6.962749,25.880817,-6.646652,-2.087422,-0.443275,-2.548691,-1.183044,-2.227101,-6.304592,-3.827759,0.133572,0.179565,-0.341354
102.780949,29.252454,1785.724731,0.000000,-3.172896,-0.425056,-1.198761,2.259214,0.299531,0.809994,0.048026,0.064527,-0.771569,-0.837260,6.608132,0.944059,-1.952036,1.794801,10.430196,-0.766678,-2.921029,-0.233450,8.289658,7.349308,7.537898,-4.507355,-2.479435,3.057337,0.772913,-2.645386,-4.675188,-4.583624,-6.619310,-0.806515,0.334484,-0.589337,0.235041,-4.675276,0.068301,-0.259399,0.049348,3.714295,7.556112,3.058679,-0.822616,-2.434000,2.286281,8.463643,14.357788,9.481521,-3.609661,-2.440884,-3.075935,25.170761,-8.627670,-2.694672,-0.428238,-3.269271,-0.073994,-1.744297,-6.694714,-3.553398,0.089058,0.433960,-0.548355
102.781282,29.252454,1772.822876,0.000000,-2.838953,-0.206793,-0.362977,1.307862,-0.130112,-0.260292,1.288775,-0.012220,-1.527138,-0.596249,2.211046,4.247477,2.272461,-11.270025,-0.095350,11.021340,4.798845,-22.299051,1.047194,15.320956,5.806387,-0.890648,-3.754004,2.761499,1.596147,-2.819787,-11.032180,-6.518246,-0.720396,0.612656,-0.532201,0.626752,-5.050503,0.211836,-0.618416,-0.204090,4.124481,7.757125,2.841209,-3.402272,0.837944,6.358725,15.256259,5.688322,-4.864139,-1.663540,8.478878,12.490538,-2.054295,-5.194147,-1.900930,0.423935,-3.660439,-0.902876,-5.121654,-2.033122,-0.226051,-0.043819,-0.388312,0.535277,0.926088
102.781615,29.252454,1758.843750,0.000000,-3.168365,0.150933,-0.148503,0.564457,0.150580,-0.645413,1.749723,-0.914049,-0.101748,7.636687,5.120373,-2.763144,1.789261,-24.104380,11.096175,11.355498,-5.637952,-3.896571,3.570715,-3.180366,-2.975300,-5.379624,-4.376266,-6.491836,-0.281090,0.316036,-0.841503,0.329882,-5.208168,0.867069,-0.416048,-0.069285,3.719076,7.850887,4.694918,-1.690998,-4.711675,1.297864,6.366134,14.206692,5.505551,-5.388295,-4.683829,-10.809930,16.769754,3.871075,-1.019331,0.117011,-4.411442,-0.629032,-2.733676,-4.378430,0.314726,-1.071611,-0.790083,0.952689,1.393465,-0.197089,-1.031903,0.607333,0.552901
102.782282,29.252454,1740.578003,0.000000,-3.721603,0.449576,-0.260793,0.573409,0.674115,0.909887,-0.194669,-2.207127,-0.045413,1.882048,6.210724,3.582541,-1.428994,13.819200,4.073282,0.598374,6.678777,-4.972963,5.618509,10.869579,-3.941349,-1.029098,-0.704125,1.915017,-2.840992,-2.314698,-3.648010,-5.370876,-7.078163,-0.191542,0.569904,-1.580782,1.046338,-4.733249,0.557528,-0.378173,-0.792891,4.597136,7.771430,4.899195,-1.900547,-6.206682,3.059454,6.279995,14.606352,5.537990,-4.204895,-3.214100,-11.228103,37.159637,-12.854519,-3.720756,-2.133866,-0.935390,-1.264175,-2.275910,-4.384762,-2.741592,-0.136479,-0.335086,-1.383061
102.782782,29.252454,1737.115234,0.000000,-4.188353,0.084176,-0.860796,0.243063,1.253360,0.660978,0.974116,-1.013047,-2.098223,-0.421128,2.232557,5.127132,4.707300,-0.217566,-0.257330,10.851356,-0.266386,3.042705,-1.997505,4.812655,7.018463,-1.883227,0.413079,-1.701805,1.311275,-3.447620,-1.796252,-4.369857,-5.730992,-6.885744,0.419401,0.565962,-1.219514,0.878911,-4.061189,-0.034465,0.202596,-0.634633,4.210336,8.107459,4.060797,-1.868626,-4.034775,2.742240,6.432786,13.125557,7.413525,-3.004803,-1.400772,-7.495535,36.125471,-11.311794,-4.117172,-2.262547,1.027825,-3.179810,-1.268204,-4.565796,-2.427192,-0.213822,-0.516708
